Feature	Gain	Cover	Frequency
mplazo_fijo_dolares_rank_lag1	0.00149779863122066	0.00147283658382495	0.00253252108654437
mpayroll2_rank	0.0014944576304258	0.00125106560143248	0.00273952572936279
mactivos_margen_rank_delta1	0.00148746484659811	0.00136439712236162	0.00230415882184786
mtransferencias_emitidas_rank	0.00148157378713929	0.00201887949604138	0.00229758724588537
mcaja_ahorro_adicional_rank	0.00148045723249274	0.000980998081320292	0.00273213270640499
vm_mconsumospesos_rank_tend6	0.00148033788972138	0.00120599286646573	0.0021817632195465
Visa_mfinanciacion_limite_rank_delta1	0.00147128148367771	0.00102150422731733	0.00243476889410234
mcheques_depositados_rank	0.00147034575643654	0.00119816775673383	0.0025054133356991
Master_mconsumototal_rank_tend6	0.00146535639745517	0.00102679931632898	0.00239123220335085
matm_other_rank_delta1	0.00146168322138581	0.00106918194037144	0.00233455236067438
Visa_mpagosdolares_rank_tend6	0.0014593413817577	0.000713473908324896	0.0022852655409557
mtarjeta_visa_descuentos_rank	0.00145408140801128	0.00106063029631336	0.00256948620133337
mtarjeta_master_consumo_rank_delta1	0.00145354674779074	0.000815170184228768	0.00239041075635554
mttarjeta_master_debitos_automaticos_rank_delta1	0.00145314483656728	0.000785441190512864	0.00243066165912578
vm_mconsumototal_rank_tend6	0.00145155319036479	0.000986166352757884	0.00223515727424172
vm_mpagado_rank	0.00144915218124987	0.000878417088786777	0.00242901876513516
minversion1_dolares_rank_lag1	0.00144908893985843	0.000916598457914915	0.00260562986912706
mcomisiones_rank_lag1	0.00144885062559873	0.00106490483195488	0.00144574671174768
mprestamos_prendarios_rank	0.00144807834670612	0.000733644984959422	0.00249391307776474
mttarjeta_master_debitos_automaticos_rank_lag1	0.00144470212111596	0.000788815341613838	0.00231976631475877
vm_madelantodolares_rank	0.00144209858027001	0.00159727361828979	0.00278881254908146
cliente_antiguedad_lag1	0.00144207183929818	0.00256856898443696	0.00224255029719952
mpayroll_rank_lag1	0.00144065847472865	0.00197666632826041	0.00200761645654053
matm_other_rank	0.00143691647448542	0.00107369354711506	0.00253827121551155
Visa_mpagospesos_rank_tend6	0.0014366670801836	0.00167260739106879	0.00218587045452305
mcheques_emitidos_rank_lag1	0.00143514766698528	0.00127757122600919	0.00252677095757719
mcomisiones_rank	0.00143493548719605	0.00112923100118754	0.00153282009325066
mcheques_emitidos_rank_delta1	0.00143395166163653	0.000781904174079709	0.00237891049842118
mtransferencias_emitidas_rank_delta1	0.00143388999023958	0.000749964299378614	0.00225815779011044
mforex_buy_rank_lag1	0.00142948734397828	0.000931031783693323	0.00253662832152093
vm_msaldodolares_rank	0.00142581252876555	0.00135046343527711	0.00247912703184914
vm_mconsumosdolares_rank_delta1	0.00142535968890821	0.000956259259412664	0.00240108956729458
mcheques_emitidos_rank	0.00142523020364482	0.00115733570662692	0.00269270325063005
mpagodeservicios_rank	0.00142516964726915	0.00118750259243581	0.00261795157405673
mcheques_emitidos_rechazados_rank_lag1	0.00142419886551036	0.000933612595039879	0.00247748413785852
mplazo_fijo_dolares_rank_delta1	0.00142328448727932	0.00143168296574587	0.00237726760443056
vm_Fvencimiento	0.00142174973113768	0.00139011224012721	0.0022113353113777
rf_015_021	0.0014216649258381	0.000585761528883571	0.000145396118170079
vm_msaldopesos_rank	0.00141986022414813	0.000631710366019725	0.000943021150617235
mcheques_depositados_rank_lag1	0.00141535968737221	0.00105323998556288	0.00259412961119271
vm_fechaalta_tend6	0.00141444925945404	0.000826799300846082	0.00072369480286915
ccajas_consultas_tend6	0.00141297682644251	0.00554241773892391	0.0012346348339527
mttarjeta_master_debitos_automaticos_rank	0.00140583062331145	0.000682888816488199	0.00234605261860873
mpagodeservicios_rank_lag1	0.00140562952595175	0.000952486443811138	0.00258345080025366
mpagomiscuentas_rank_lag1	0.00140463126691667	0.00187563420411495	0.00231565907978222
