envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
418	4914000	4746000	4506000	4866000	5106000	5346000	
419	4935000	4863000	4503000	4863000	5103000	5343000	
420	4932000	4860000	4500000	4860000	5100000	5340000	
421	4953000	4857000	4497000	4977000	5097000	5337000	
422	4950000	4854000	4494000	4974000	5094000	5334000	
423	4971000	4851000	4491000	4971000	5211000	5331000	
424	4968000	4848000	4488000	4968000	5208000	5328000	
425	5013000	4845000	4605000	5085000	5205000	5325000	
426	5010000	4842000	4602000	5082000	5202000	5322000	
427	5031000	4839000	4599000	5199000	5199000	5319000	
428	5028000	4836000	4596000	5196000	5196000	5316000	
429	5049000	4833000	4593000	5313000	5193000	5313000	
430	5046000	4830000	4590000	5310000	5190000	5310000	
431	5091000	4827000	4587000	5307000	5307000	5427000	
432	5088000	4824000	4584000	5304000	5304000	5424000	
433	5085000	4821000	4581000	5301000	5301000	5421000	
434	5106000	4818000	4698000	5298000	5298000	5418000	
435	5127000	4935000	4695000	5295000	5295000	5415000	
436	5148000	5052000	4692000	5292000	5292000	5412000	
437	5193000	5169000	4809000	5289000	5289000	5409000	
438	5214000	5286000	4806000	5286000	5286000	5406000	
439	5211000	5283000	4803000	5283000	5283000	5403000	
440	5208000	5280000	4800000	5280000	5280000	5400000	
441	5205000	5277000	4797000	5277000	5277000	5397000	
442	5202000	5274000	4794000	5274000	5274000	5394000	
443	5223000	5271000	4791000	5271000	5391000	5391000	
444	5220000	5268000	4788000	5268000	5388000	5388000	
445	5241000	5265000	4785000	5265000	5385000	5505000	
446	5262000	5262000	4902000	5262000	5382000	5502000	
447	5259000	5259000	4899000	5259000	5379000	5499000	
448	5256000	5256000	4896000	5256000	5376000	5496000	
449	5253000	5253000	4893000	5253000	5373000	5493000	
450	5250000	5250000	4890000	5250000	5370000	5490000	
451	5295000	5367000	4887000	5247000	5367000	5607000	
452	5316000	5364000	4884000	5244000	5364000	5724000	
453	5313000	5361000	4881000	5241000	5361000	5721000	
454	5334000	5358000	4998000	5238000	5358000	5718000	
455	5379000	5355000	5115000	5355000	5355000	5715000	
456	5424000	5472000	5112000	5352000	5472000	5712000	
457	5421000	5469000	5109000	5349000	5469000	5709000	
458	5418000	5466000	5106000	5346000	5466000	5706000	
459	5439000	5463000	5103000	5463000	5463000	5703000	
460	5436000	5460000	5100000	5460000	5460000	5700000	
461	5433000	5457000	5097000	5457000	5457000	5697000	
462	5430000	5454000	5094000	5454000	5454000	5694000	
463	5427000	5451000	5091000	5451000	5451000	5691000	
464	5424000	5448000	5088000	5448000	5448000	5688000	
465	5421000	5445000	5085000	5445000	5445000	5685000	
466	5466000	5442000	5202000	5442000	5562000	5682000	
467	5463000	5439000	5199000	5439000	5559000	5679000	
468	5484000	5436000	5196000	5436000	5676000	5676000	
469	5481000	5433000	5193000	5433000	5673000	5673000	
470	5478000	5430000	5190000	5430000	5670000	5670000	
471	5475000	5427000	5187000	5427000	5667000	5667000	
472	5472000	5424000	5184000	5424000	5664000	5664000	
473	5469000	5421000	5181000	5421000	5661000	5661000	
474	5466000	5418000	5178000	5418000	5658000	5658000	
475	5463000	5415000	5175000	5415000	5655000	5655000	
476	5484000	5412000	5172000	5412000	5652000	5772000	
477	5505000	5409000	5169000	5409000	5769000	5769000	
478	5526000	5526000	5166000	5406000	5766000	5766000	
479	5523000	5523000	5163000	5403000	5763000	5763000	
480	5520000	5520000	5160000	5400000	5760000	5760000	
481	5565000	5517000	5157000	5517000	5757000	5877000	
482	5610000	5514000	5274000	5514000	5874000	5874000	
483	5655000	5511000	5271000	5631000	5871000	5991000	
484	5676000	5508000	5268000	5628000	5988000	5988000	
485	5673000	5505000	5265000	5625000	5985000	5985000	
486	5694000	5502000	5262000	5622000	5982000	6102000	
487	5763000	5619000	5379000	5739000	5979000	6099000	
488	5760000	5616000	5376000	5736000	5976000	6096000	
489	5757000	5613000	5373000	5733000	5973000	6093000	
490	5778000	5730000	5370000	5730000	5970000	6090000	
491	5775000	5727000	5367000	5727000	5967000	6087000	
492	5772000	5724000	5364000	5724000	5964000	6084000	
493	5769000	5721000	5361000	5721000	5961000	6081000	
494	5766000	5718000	5358000	5718000	5958000	6078000	
495	5811000	5715000	5355000	5835000	5955000	6195000	
496	5808000	5712000	5352000	5832000	5952000	6192000	
497	5805000	5709000	5349000	5829000	5949000	6189000	
498	5826000	5706000	5346000	5826000	5946000	6306000	
499	5823000	5703000	5343000	5823000	5943000	6303000	
500	5844000	5820000	5340000	5820000	5940000	6300000	
501	5841000	5817000	5337000	5817000	5937000	6297000	
502	5886000	5814000	5454000	5814000	5934000	6414000	
503	5907000	5811000	5571000	5811000	5931000	6411000	
504	5952000	5808000	5688000	5808000	5928000	6528000	
505	5949000	5805000	5685000	5805000	5925000	6525000	
506	5946000	5802000	5682000	5802000	5922000	6522000	
507	5967000	5799000	5679000	5799000	5919000	6639000	
508	5988000	5916000	5676000	5796000	5916000	6636000	
509	6033000	6033000	5793000	5793000	5913000	6633000	
510	6054000	6030000	5910000	5790000	5910000	6630000	
511	6075000	6147000	5907000	5787000	5907000	6627000	
512	6072000	6144000	5904000	5784000	5904000	6624000	
513	6093000	6261000	5901000	5781000	5901000	6621000	
514	6090000	6258000	5898000	5778000	5898000	6618000	
515	6111000	6375000	5895000	5775000	5895000	6615000	
516	6108000	6372000	5892000	5772000	5892000	6612000	
517	6105000	6369000	5889000	5769000	5889000	6609000	
518	6150000	6486000	6006000	5766000	5886000	6606000	
519	6171000	6483000	6003000	5883000	5883000	6603000	
520	6240000	6600000	6e+06	5880000	6e+06	6720000	
521	6261000	6717000	5997000	5877000	5997000	6717000	
522	6282000	6834000	5994000	5874000	5994000	6714000	
523	6303000	6831000	5991000	5871000	5991000	6831000	
524	6300000	6828000	5988000	5868000	5988000	6828000	
525	6321000	6825000	5985000	5985000	5985000	6825000	
526	6342000	6822000	5982000	5982000	6102000	6822000	
527	6363000	6819000	6099000	5979000	6099000	6819000	
528	6360000	6816000	6096000	5976000	6096000	6816000	
529	6405000	6933000	6093000	5973000	6093000	6933000	
530	6402000	6930000	6090000	5970000	6090000	6930000	
531	6423000	6927000	6087000	5967000	6207000	6927000	
532	6468000	7044000	6084000	6084000	6204000	6924000	
533	6465000	7041000	6081000	6081000	6201000	6921000	
